trip_id,road_segments
1,"100079,100079,100080,100080,1043,1043,678,678,675,10641,27120,5113,5113,4147,4147,1275,1278,60348,1360,1359,1359,1359,1359"
2,"36632,36632,6492,39203,734,734,39179,39169,99062,39199,152249,39194,39220,12410,171687,7805,97123,12433,12433"
3,"105554,682,105555,107447,132763,132763,4157,100080,100080,1043,678,678,10658,10641,27120,27120,4147,4147,1275,1275,132760,10695,10691,5717,10687,1267,10730,102137,5825,5825,5825,5825,5825,1264,99928,99928,5827,1250,1250,1250,100121,100119,100119,5102,5099,5099,10839,4140,4140,4140,660,660,660,660,666,673,10662,10662,10662,677,677,1045,100079,4158,4158"
4,"79276,79276,79276,79276,79276,79276,79276,79276,79276,79276,79276,969,979,979,14957,125624,141731,141731,141731,56740,56742,6522,6522,123575,123575,1570,123472,1451,1451,1448,1445,191189,191189,1439,1439,108530,1522,154951,154951,154951,154951,154951,154951"
5,"154099,154099,154097,7703,7704,130393,738,731,711,161174,161174,106702,106702,21458,623,623,5356,108757,89394,36521,36523,163836,696,696,696,5387,133480,133480,133480"
6,"132762,108977,680,680,99928,99928,99928,99928,99928,99928,99928,900,900,900,78945,78975,962,26,156003,22373,7055,7041,32106,24192,24200,79472"
7,"177473,979,979,5033,7006,157180,157177,56740,56742,102151,152675,152675,152675,140716,1573,106907,106903,140715,191974,152025,152025,152025,110067,110072,110072,1457,1441,1441,108530,108530,108520,91209,1527,108512,108512,108512"
8,"1292,1292,1319,108411,108411,108455,108455,108455,97950,108842,108842,82289,112605,112604,112607,60,54,75,1467,1467,59394,1366,10534,1465,1465,7608,7483,7483,7483,7483,7483,7483,7483,7483"
9,"680,680,99929,99929,682,107447,132762,132762,107445,684,1328,1328,1431,125623,1518,1518,79775,1524,1532,154957,1438,108529,108529,1440,191192,1443,1539,100092,1462,156299,153194,156283,156289,156297,156294,5269,51466,51466"
10,"4158,107446,105554,680,110373,27046,27046,131069,159408,27185,27185,27185,27185,27185,27185,27450,26713,26711,26711"
11,"112604,112603,112603,60,54,75,155722,1466,1466,1466,1466,60834,67,67,69,72,100134,1302,159370,159370,1296,1296"
12,"37690,37690,37690,1246,99305,139874,159389,7063,7063,181214,79773,79773,7058,6884,6720,6716,6775,6326,51496,102164,51482,51480,996,996,5267,998,999,1002,1002,6402,1005,1007,10438,6507,10423,10466,1014,1014,1014,1014,1014,6505,6505,6505"
13,"67,67,67,67,69,69,72,159250,159370,159370,159370,1296,1474,1484,162526,140424,1502,1502,159371,1202,138,125634,125634,125630,133,18,6718,6883,99296,79585,79567,79537"
14,"183390,25718,10282,10282,125627,121,122,12951,6515,6515,10187,110452,6402,1005,1007,1007,1007,1009,1012,10423,10466,1014,6505,6502,10586,100185,35260,6247,35250,107432,107432,107432,107432,107432"
15,"99929,99929,682,107447,108976,132762,132762,107445,684,1328,1328,136566,1431,181232,125624,141731,141731,45,102,108821,100,10289,10290,105993,4076,1475,1309,1309"
16,"6778,6772,6772,600,595,156129,7487,1103,1103,1103,34145,980,982,37899,37899,772,773,4,768,125638,116576,125885,106553,7730,12516,12482,12539,100198,184234,184234,184234,184234,184234,184234,184234,184234,184234,184234,184234,184234,184234,184234,184234,184234,184234,184234,12557,12541,12538,12522,12479,183684,6518,6518,108492,896,895,10565,733,599,133196,133196,133196,133196"
