trip_id,road_segments
1372636858620000589,"100079,100079,100080,100080,1043,1043,678,678,10658,10641,27120,5113,5113,4147,4147,1275,1278,60348,1360,1359,1359,1359,1359"
1372637303620000596,"36632,36632,6492,39203,734,734,39179,39169,99062,39199,152249,39194,39220,12410,171687,7805,97123,12433,12433"
1372636951620000320,
1372636854620000520,
1372637091620000337,"106566,106566,154097,7703,7704,130393,738,731,711,161174,161174,106702,106702,21458,623,623,5356,108757,89394,36521,36523,163836,696,696,696,5387,133480,133480,133480"
1372636965620000231,"132762,108977,680,680,99928,99928,99928,99928,99928,99928,99928,900,900,900,78945,78975,962,26,156003,22371,7055,7041,32106,24192,24200,79472"
1372637210620000456,"177473,979,979,5033,7006,157180,157177,56740,56742,102151,152675,152675,152675,140716,140716,106903,1569,100097,191974,152025,152025,152025,110067,110072,110072,1457,1441,1441,108530,108530,108520,91209,1527,108511,108511,108511"
1372637299620000011,"1292,1292,1319,108411,108411,108455,108455,108455,97950,108842,108842,82289,112605,112604,112607,60,54,75,1467,1467,1467,1366,10534,1465,1465,7608,7483,7483,7483,7483,7483,7483,7483,7483"
1372637274620000403,"680,680,99929,99929,682,107447,132762,132762,107445,684,1328,1328,1431,125623,1518,1518,79775,1524,1532,154957,1438,108529,108529,1440,191192,1443,1539,100092,1462,156299,153194,156283,156289,156297,156294,5269,51466,51466"
1372637905620000320,
1372636875620000233,"112604,112603,112603,60,54,75,155722,1466,1466,1466,1466,60834,67,67,69,72,100134,1302,159370,159370,1296,1296"
1372637984620000520,"37690,37690,37690,1246,99305,139874,159389,7063,7063,181214,79773,79773,7058,6884,6720,6716,6775,6326,51496,102164,51482,51480,996,996,5267,998,999,1002,1002,6402,1005,1007,10438,6507,10423,10466,10552,10552,10552,10552,1014,6505,6505,6505"
1372637343620000571,"67,67,67,67,69,69,25719,159250,159370,159370,159370,1296,1474,1484,162526,140424,1502,1502,159371,1202,138,125634,125634,125630,133,18,6718,6883,99296,79576,79538,79538"
1372638595620000233,"183390,25718,10282,10282,125627,121,122,12951,6515,6515,10187,110452,6402,1005,1007,1007,1007,1009,1012,10423,10466,1014,6505,6502,10586,100185,35260,6247,35250,107432,107432,107432,107432,107432"
1372638151620000231,"99929,99929,682,107447,132764,4161,4161,107445,684,1328,1328,136566,1431,181232,125624,141731,1534,45,102,108821,100,10289,10290,105993,4076,1475,1479,1309"
1372637610620000497,
1372638481620000403,"6815,6815,6329,6329,6877,156088,6330,6878,6717,99292,99299,1382,125631,135,136,125638,125638,116576,116576,125639,25244,141,141,141,141,146,147,1093,22368,148,670,149,149,78707,137874,137891,137876,28098,28098,28098,28098,28098,28098,28098,27304,27304,27304,28098,28098,28098,28098,28098,27304,27304,28098,28098,27304,27304,27304,27304,27304,27304,28098,27306,137885"
1372639135620000570,"170720,108801,108801,153318,184215,97161,153317,99086,6802,6802,161172,101637,153223,168324,108683,108683,108683,108683,108683"
1372637482620000005,"156091,156299,153194,153194,156283,156297,1495,159472,51471,5175,5175,51504,184179,51472,5149,6350,6350"
1372639181620000089,"154006,154006,7320,108486,108486,57497,57497,57497,57500"
1372638161620000423,"100,100,10285,10300,183390,183393,25719,100135,100138,108883,1367,7611,155729,155730,10414"
1372637254620000657,"12566,12580,12431,12421,7770,146907,12599,7781,151973,748,762,767,7708,130392,130402,130404,35263,780,783,783,84419,84371,84371,84371,84371,4936,84431,175,116547,116547,8448,788,788,788,8844,792,4201,796,796,796,796,796,796"
1372638502620000320,"105554,105554,682,682,107447,108976,132762,132762,107445,684,1328,1328,136566,136566,136566,136566,1431,157116,157266,1524,1524,1524,1532,154957,1438,1438,108529,108529,1440,1440,191971,115,104,109,129"
1372639960620000309,"110452,110452,110452,5254,5254,5254,5129,159380,8887,5123,6046,5053,51468,5132,51067,134317,79748,134308,134308,134308"
1372637658620000596,"12433,12433,12578,170705,12589,101625,110144,153317,153317,153317,153317,153317,6802,161175,7792,159465,51538,51538,57487,100333,100333,11907,11908,11908,11908,11908"
1372639092620000233,"107432,107432,107429,107429,107429,107429,107429,107429"
1372639535620000161,"661,4141,4141,153928,185647,657,116860,106097,5101,5104,106549,106549,106552,1340,27925,1080,148,148,670,149,149,78706,137883,137883,137883,137883,19604,19604,19604,19604,2070,2066,2066,2066,2066,2066,158,146646,157171,146813,28236,30891,45236,45350,45688,45333,45515,45708,45708,44837,45096,45004,45169,44985,44985,44912,44912"
